Time,V_Cell,I_Cell
[h:mm],[mV],[mA]
0:00:00,4114,389
0:00:01,4111,431
0:00:02,4105,513
0:00:04,4108,483
0:00:05,4108,454
0:00:06,4111,399
0:00:07,4113,388
0:00:09,4113,389
0:00:10,4113,390
0:00:11,4113,393
0:00:12,4113,422
0:00:13,4111,401
0:00:15,4113,386
0:00:16,4113,390
0:00:17,4112,406
0:00:18,4110,411
0:00:19,4112,386
0:00:21,4112,396
0:00:22,4112,393
0:00:23,4111,399
0:00:24,4112,411
0:00:26,4110,397
0:00:27,4112,393
0:00:28,4111,389
0:00:29,4111,396
0:00:30,4110,414
0:00:32,4111,398
0:00:33,4112,392
0:00:34,4110,419
0:00:35,4111,454
0:00:36,4102,458
0:00:38,4109,474
0:00:39,4107,444
0:00:40,4109,404
0:00:41,4111,414
0:00:43,4104,469
0:00:44,4111,409
0:00:45,4110,428
0:00:46,4099,468
0:00:47,4106,466
0:00:49,4106,431
0:00:50,4110,419
0:00:51,4108,439
0:00:52,4105,495
0:00:53,4107,412
0:00:55,4107,428
0:00:56,4108,406
0:00:57,4110,397
0:00:58,4093,469
0:00:59,4109,465
0:01:01,4110,415
0:01:02,4107,440
0:01:03,4110,424
0:01:04,4108,409
0:01:06,4109,399
0:01:07,4106,511
0:01:08,4108,442
0:01:09,4107,444
0:01:10,4107,434
0:01:12,4107,429
0:01:13,4108,414
0:01:14,4106,473
0:01:15,4108,427
0:01:17,4099,499
0:01:18,4102,490
0:01:19,4101,491
0:01:20,4106,416
0:01:21,4109,409
0:01:23,4105,484
0:01:24,4107,491
0:01:25,4105,455
0:01:26,4108,413
0:01:27,4106,417
0:01:29,4105,437
0:01:30,4096,499
0:01:31,4098,513
0:01:32,4101,451
0:01:34,4108,416
0:01:35,4107,411
0:01:36,4107,413
0:01:37,4101,445
0:01:38,4107,434
0:01:40,4098,460
0:01:41,4098,520
0:01:42,4099,478
0:01:43,4106,438
0:01:45,4101,443
0:01:46,4103,409
0:01:47,4105,424
0:01:48,4107,406
0:01:49,4105,435
0:01:51,4107,450
0:01:52,4105,442
0:01:53,4106,401
0:01:54,4101,495
0:01:55,4103,454
0:01:57,4106,406
0:01:58,4106,469
0:01:59,4106,446
0:02:00,4107,419
0:02:01,4101,486
0:02:03,4103,432
0:02:04,4105,431
0:02:05,4100,421
0:02:06,4107,416
0:02:08,4104,478
0:02:09,4103,485
0:02:10,4099,501
0:02:11,4105,438
0:02:12,4097,467
0:02:14,4106,419
0:02:15,4104,446
0:02:16,4103,435
0:02:17,4102,419
0:02:18,4104,440
0:02:20,4104,431
0:02:21,4104,484
0:02:22,4106,416
0:02:23,4104,445
0:02:24,4097,450
0:02:26,4103,468
0:02:27,4104,482
0:02:28,4101,430
0:02:29,4099,498
0:02:30,4098,546
0:02:32,4098,512
0:02:33,4102,445
0:02:34,4104,422
0:02:35,4106,406
0:02:36,4098,431
0:02:37,4103,439
0:02:39,4104,429
0:02:40,4105,412
0:02:41,4104,427
0:02:42,4104,419
0:02:43,4102,463
0:02:45,4099,462
0:02:46,4102,444
0:02:47,4099,429
0:02:48,4103,461
0:02:49,4103,431
0:02:51,4104,436
0:02:52,4103,426
0:02:53,4100,462
0:02:54,4103,445
0:02:55,4097,470
0:02:57,4104,411
0:02:58,4105,403
0:02:59,4096,447
0:03:00,4103,454
0:03:01,4093,470
0:03:03,4101,429
0:03:04,4105,403
0:03:05,4103,432
0:03:06,4103,437
0:03:07,4100,444
0:03:09,4105,405
0:03:10,4105,399
0:03:11,4104,407
0:03:12,4102,428
0:03:13,4100,443
0:03:15,4104,408
0:03:16,4104,412
0:03:17,4103,413
0:03:18,4103,414
0:03:19,4103,422
0:03:21,4103,422
0:03:22,4105,407
0:03:23,4102,396
0:03:24,4104,391
0:03:25,4103,422
0:03:27,4105,393
0:03:28,4104,385
0:03:29,4104,392
0:03:30,4103,403
0:03:31,4103,416
0:03:33,4104,394
0:03:34,4105,392
0:03:35,4103,488
0:03:36,4102,524
0:03:37,4100,532
0:03:39,4077,578
0:03:40,4094,549
0:03:41,4101,505
0:03:42,4099,578
0:03:43,4081,669
0:03:45,4096,572
0:03:46,4102,506
0:03:47,4097,543
0:03:48,4096,555
0:03:49,4099,542
0:03:51,4084,559
0:03:52,4083,559
0:03:53,4094,553
0:03:54,4101,495
0:03:55,4074,587
0:03:57,4102,480
0:03:58,4101,581
0:03:59,4098,501
0:04:00,4070,559
0:04:01,4099,508
0:04:03,4096,566
0:04:04,4101,497
0:04:05,4066,605
0:04:06,4101,478
0:04:07,4091,606
0:04:09,4098,621
0:04:10,4068,633
0:04:11,4099,481
0:04:12,4091,573
0:04:13,4096,665
0:04:15,4099,526
0:04:16,4100,486
0:04:17,4088,572
0:04:18,4098,626
0:04:19,4098,543
0:04:21,4081,624
0:04:22,4086,562
0:04:23,4094,608
0:04:24,4100,521
0:04:25,4086,668
0:04:27,4095,592
0:04:28,4097,580
0:04:29,4082,692
0:04:30,4094,661
0:04:31,4089,622
0:04:33,4066,661
0:04:34,4085,637
0:04:35,4093,600
0:04:36,4098,484
0:04:37,4060,603
0:04:39,4063,551
0:04:40,4094,616
0:04:41,4096,500
0:04:42,4056,574
0:04:43,4087,726
0:04:45,4099,503
0:04:46,4091,531
0:04:47,4055,561
0:04:48,4086,592
0:04:49,4093,607
0:04:51,4094,530
0:04:52,4059,568
0:04:53,4083,580
0:04:54,4093,573
0:04:55,4095,670
0:04:57,4066,656
0:04:58,4069,634
0:04:59,4092,549
0:05:00,4098,559
0:05:01,4087,582
0:05:03,4078,573
0:05:04,4089,541
0:05:05,4097,544
0:05:06,4090,554
0:05:07,4089,588
0:05:09,4086,545
0:05:10,4095,559
0:05:11,4091,567
0:05:12,4095,547
0:05:13,4078,597
0:05:15,4097,518
0:05:16,4091,578
0:05:17,4096,549
0:05:18,4089,588
0:05:19,4096,531
0:05:21,4086,578
0:05:22,4096,543
0:05:23,4092,559
0:05:24,4065,551
0:05:25,4074,697
0:05:27,4086,614
0:05:28,4088,630
0:05:29,4072,735
0:05:30,4095,621
0:05:31,4091,654
0:05:33,4090,676
0:05:34,4072,627
0:05:35,4096,522
0:05:36,4080,582
0:05:37,4093,600
0:05:39,4074,547
0:05:40,4095,509
0:05:41,4074,607
0:05:42,4096,531
0:05:43,4092,679
0:05:45,4094,437
0:05:46,4072,577
0:05:47,4096,505
0:05:48,4094,624
0:05:49,4094,536
0:05:51,4068,560
0:05:52,4096,501
0:05:53,4093,652
0:05:54,4092,537
0:05:55,4057,606
0:05:57,4095,484
0:05:58,4093,638
0:05:59,4094,531
0:06:00,4093,531
0:06:01,4093,507
0:06:03,4092,636
0:06:04,4095,547
0:06:05,4094,532
0:06:06,4053,595
0:06:07,4089,665
0:06:09,4089,616
0:06:10,4089,614
0:06:11,4048,670
0:06:12,4093,513
0:06:13,4093,523
0:06:15,4093,524
0:06:16,4037,693
0:06:17,4077,618
0:06:18,4077,758
0:06:19,4081,682
0:06:21,4062,703
0:06:22,4070,638
0:06:23,4073,719
0:06:24,4089,610
0:06:25,4077,582
0:06:27,4092,482
0:06:28,4085,622
0:06:29,4094,500
0:06:30,4085,601
0:06:31,4090,493
0:06:33,4076,591
0:06:34,4080,665
0:06:35,4085,534
0:06:36,4092,503
0:06:37,4070,654
0:06:39,4093,474
0:06:40,4090,589
0:06:41,4089,608
0:06:42,4065,653
0:06:43,4091,475
0:06:45,4088,559
0:06:46,4093,583
0:06:47,4093,485
0:06:48,4093,481
0:06:49,4086,583
0:06:51,4092,584
0:06:52,4093,483
0:06:53,4064,601
0:06:54,4087,570
0:06:55,4088,606
0:06:57,4093,490
0:06:58,4068,592
0:06:59,4092,473
0:07:00,4091,619
0:07:01,4091,508
0:07:03,4073,613
0:07:04,4049,639
0:07:05,4074,521
0:07:06,4094,408
0:07:07,4092,405
0:07:09,4095,397
0:07:10,4094,389
0:07:11,4094,392
0:07:12,4094,405
0:07:13,4092,415
0:07:15,4094,393
0:07:16,4095,393
0:07:17,4093,393
0:07:18,4092,426
0:07:19,4092,412
0:07:21,4094,396
0:07:22,4089,488
0:07:23,4089,478
0:07:24,4093,412
0:07:25,4092,406
0:07:27,4094,391
0:07:28,4094,391
0:07:29,4090,406
0:07:30,4093,404
0:07:31,4092,414
0:07:33,4094,391
0:07:34,4094,392
0:07:35,4094,390
0:07:36,4093,422
0:07:37,4092,413
0:07:39,4094,391
0:07:40,4095,393
0:07:41,4094,388
0:07:42,4093,403
0:07:43,4092,416
0:07:45,4094,408
0:07:46,4094,391
0:07:47,4094,388
0:07:48,4093,406
0:07:49,4092,421
0:07:51,4094,392
0:07:52,4094,388
0:07:53,4091,452
0:07:54,4093,423
0:07:55,4093,404
0:07:57,4091,465
0:07:58,4088,451
0:07:59,4094,423
0:08:00,4088,458
0:08:01,4092,423
0:08:03,4094,393
0:08:04,4094,397
0:08:05,4091,435
0:08:06,4093,411
0:08:07,4088,442
0:08:09,4093,393
0:08:10,4094,416
0:08:11,4093,399
0:08:12,4092,419
0:08:13,4086,469
0:08:15,4093,404
0:08:16,4093,397
0:08:17,4093,399
0:08:18,4092,422
0:08:19,4092,409
0:08:21,4091,444
0:08:22,4092,423
0:08:23,4091,447
0:08:24,4087,473
0:08:25,4090,446
0:08:27,4089,423
0:08:28,4093,398
0:08:29,4090,409
0:08:30,4091,439
0:08:31,4085,500
0:08:33,4086,427
0:08:34,4091,432
0:08:35,4087,495
0:08:36,4085,503
0:08:37,4090,426
0:08:39,4091,449
0:08:40,4088,465
0:08:41,4092,414
0:08:42,4091,405
0:08:43,4090,440
0:08:45,4092,400
0:08:46,4093,406
0:08:47,4089,427
0:08:48,4092,404
0:08:49,4088,435
0:08:51,4092,393
0:08:52,4089,460
0:08:53,4091,408
0:08:54,4092,397
0:08:55,4089,469
0:08:57,4086,465
0:08:58,4092,396
